Id,OrderId,InvoiceDate,Subtotal,Tax,Total,PaymentStatus,CreatedAt,UpdatedAt,IsDeleted,DueAmount,PaidAmount,BookingId
1,,2026-05-27 14:51:14.505928,14800.00,740.00,15540.00,PartiallyPaid,2026-05-27 14:51:14.505894,2026-05-27 14:51:14.505894,f,5540.00,10000,1
2,,2026-05-27 18:19:01.727165,14100.00,705.00,14805.00,PartiallyPaid,2026-05-27 18:19:01.72711,2026-05-27 18:19:01.72711,f,9000.00,5805,2
3,,2026-05-31 05:26:48.091701,43800.00,2190.00,45990.00,PartiallyPaid,2026-05-31 05:26:48.09151,2026-05-31 05:26:48.09151,f,35990.00,10000,3
4,,2026-05-31 12:29:06.549642,40300.00,2015.00,42315.00,PartiallyPaid,2026-05-31 12:29:06.549607,2026-05-31 12:29:06.549607,f,32315.00,10000,4
5,,2026-06-02 17:43:14.2249,77600.00,3880.00,81480.00,PartiallyPaid,2026-06-02 17:43:14.224853,2026-06-02 17:43:14.224853,f,54480.00,27000,5
